frame_index,seq,header_stamp,aligned_stamp
0,138324,56758.373287000,56758.385067000
1,138325,56758.388310000,56758.400090000
2,138326,56758.405545000,56758.417325000
3,138327,56758.421758000,56758.433538000
4,138328,56758.438826000,56758.450606000
5,138329,56758.456085000,56758.467865000
6,138330,56758.473030000,56758.484810000
7,138331,56758.488194000,56758.499974000
8,138332,56758.505335000,56758.517115000
9,138333,56758.521904000,56758.533684000
10,138334,56758.538937000,56758.550717000
11,138335,56758.556753000,56758.568533000
12,138336,56758.573385000,56758.585165000
13,138337,56758.588605000,56758.600385000
14,138338,56758.605376000,56758.617156000
15,138339,56758.621404000,56758.633184000
16,138340,56758.639047000,56758.650827000
17,138341,56758.656248000,56758.668028000
18,138342,56758.673146000,56758.684926000
19,138343,56758.688224000,56758.700004000
20,138344,56758.705458000,56758.717238000
21,138345,56758.721490000,56758.733270000
22,138346,56758.739043000,56758.750823000
23,138347,56758.756368000,56758.768148000
24,138348,56758.774333000,56758.786113000
25,138349,56758.788493000,56758.800273000
26,138350,56758.805522000,56758.817302000
27,138351,56758.821782000,56758.833562000
28,138352,56758.838868000,56758.850648000
29,138353,56758.856578000,56758.868358000
30,138354,56758.873193000,56758.884973000
31,138355,56758.888507000,56758.900287000
32,138356,56758.905309000,56758.917089000
33,138357,56758.921359000,56758.933139000
34,138358,56758.938981000,56758.950761000
35,138359,56758.956381000,56758.968161000
36,138360,56758.973015000,56758.984795000
37,138361,56758.988810000,56759.000590000
38,138362,56759.005411000,56759.017191000
39,138363,56759.021470000,56759.033250000
40,138364,56759.039003000,56759.050783000
41,138365,56759.056497000,56759.068277000
42,138366,56759.074173000,56759.085953000
43,138367,56759.090586000,56759.102366000
44,138368,56759.105487000,56759.117267000
45,138369,56759.121669000,56759.133449000
46,138370,56759.138749000,56759.150529000
47,138371,56759.156432000,56759.168212000
48,138372,56759.173404000,56759.185184000
49,138373,56759.188349000,56759.200129000
50,138374,56759.205455000,56759.217235000
51,138375,56759.221951000,56759.233731000
52,138376,56759.238773000,56759.250553000
53,138377,56759.256585000,56759.268365000
54,138378,56759.273405000,56759.285185000
55,138379,56759.288798000,56759.300578000
56,138380,56759.305429000,56759.317209000
57,138381,56759.321424000,56759.333204000
58,138382,56759.338628000,56759.350408000
59,138383,56759.355763000,56759.367543000
60,138384,56759.371179000,56759.382959000
61,138385,56759.389954000,56759.401734000
62,138386,56759.405204000,56759.416984000
63,138387,56759.421532000,56759.433312000
64,138388,56759.438957000,56759.450737000
65,138389,56759.456742000,56759.468522000
66,138390,56759.471103000,56759.482883000
67,138391,56759.490140000,56759.501920000
68,138392,56759.505643000,56759.517423000
69,138393,56759.521416000,56759.533196000
70,138394,56759.538765000,56759.550545000
71,138395,56759.556388000,56759.568168000
72,138396,56759.572949000,56759.584729000
73,138397,56759.588297000,56759.600077000
74,138398,56759.605191000,56759.616971000
75,138399,56759.621717000,56759.633497000
76,138400,56759.638738000,56759.650518000
77,138401,56759.656551000,56759.668331000
78,138402,56759.673187000,56759.684967000
79,138403,56759.688355000,56759.700135000
80,138404,56759.705195000,56759.716975000
81,138405,56759.721292000,56759.733072000
82,138406,56759.739192000,56759.750972000
83,138407,56759.756268000,56759.768048000
84,138408,56759.773042000,56759.784822000
85,138409,56759.788249000,56759.800029000
86,138410,56759.805436000,56759.817216000
87,138411,56759.821502000,56759.833282000
88,138412,56759.838894000,56759.850674000
89,138413,56759.856484000,56759.868264000
90,138414,56759.872042000,56759.883822000
91,138415,56759.888110000,56759.899890000
92,138416,56759.905299000,56759.917079000
93,138417,56759.921550000,56759.933330000
94,138418,56759.938735000,56759.950515000
95,138419,56759.956503000,56759.968283000
96,138420,56759.973189000,56759.984969000
97,138421,56759.988640000,56760.000420000
98,138422,56760.005131000,56760.016911000
99,138423,56760.021168000,56760.032948000
100,138424,56760.038888000,56760.050668000
101,138425,56760.056391000,56760.068171000
102,138426,56760.073121000,56760.084901000
103,138427,56760.088692000,56760.100472000
104,138428,56760.105118000,56760.116898000
105,138429,56760.121508000,56760.133288000
106,138430,56760.139078000,56760.150858000
107,138431,56760.156417000,56760.168197000
108,138432,56760.171137000,56760.182917000
